Pas de discretisation [s],Horizon [nb de pas de discretisation],Temps de calcul du probleme de minimisation [s]
0.1,5,4.01868605614
0.1,10,30.9925191402
0.1,15,96.1763029099
0.1,20,174.220373869
0.1,30,380.148838043
