Pas de discretisation [s],Horizon [nb de pas de discretisation],Temps de calcul du probleme de minimisation [s]
0.1,10,0.269185066223
0.1,15,0.670219182968
0.1,20,1.03095817566
0.1,25,1.89725399017
0.1,30,2.61057496071
0.1,40,4.54266786575
0.1,50,6.6256210804
0.1,60,11.1568989754
0.1,80,20.6575808525
0.15,10,0.346450090408
0.15,15,0.739027023315
0.15,20,1.48495817184
0.15,25,2.30239200592
0.15,30,3.78820705414
0.15,40,6.33664011955
0.15,50,10.1612300873
0.15,60,15.6490428448
0.15,80,34.6047999859
0.2,10,0.471946954727
0.2,15,0.992047071457
0.2,20,2.12229704857
0.2,25,3.10008192062
0.2,30,4.49992799759
0.2,40,7.3999671936
0.2,50,13.193475008
0.2,60,20.5755491257
0.2,80,55.8822219372
0.25,10,0.572017908096
0.25,15,1.37337398529
0.25,20,2.34657883644
0.25,25,3.32672214508
0.25,30,5.15250205994
0.25,40,9.96255397797
0.25,50,16.6590530872
0.25,60,32.2502861023
0.25,80,81.0942239761
0.3,10,0.501827001572
0.3,15,1.52004599571
0.3,20,2.23758482933
0.3,25,4.14367699623
0.3,30,6.06436896324
0.3,40,12.4445359707
0.3,50,26.329531908
0.3,60,45.3714659214
0.3,80,94.2101869583
0.35,10,0.580267906189
0.35,15,1.85272192955
0.35,20,2.8100669384
0.35,25,4.7682659626
0.35,30,6.94325995445
0.35,40,14.3534629345
0.35,50,33.1938970089
0.35,60,49.9414739609
0.35,80,119.847074032
0.4,10,0.883402109146
0.4,15,1.89631509781
0.4,20,3.22458004951
0.4,25,5.39631605148
0.4,30,8.31265115738
0.4,40,17.3805019855
0.4,50,39.7693059444
0.4,60,79.476432085
0.4,80,356.860748053
